Date,Home,hpts,Away,apts
11/14/14,East Tennessee St.,76,Valparaiso,90
11/14/14,Tennessee,69,VCU,85
11/14/14,Villanova,77,Lehigh,66
11/14/14,Maryland Eastern Shore,46,Virginia Tech,71
11/14/14,UNC Asheville,69,Wake Forest,80
11/14/14,South Carolina St.,59,Washington,77
11/14/14,Monmouth,54,West Virginia,64
11/14/14,Pacific,73,Western Illinois,71
11/14/14,New Mexico St.,54,Wichita St.,71
11/14/14,Northern Kentucky,31,Wisconsin,62
11/14/14,Belmont,70,Wright St.,73
11/14/14,Northern Arizona,60,Xavier,93
11/14/14,Piedmont International,29,Tennessee Tech,83
11/14/14,Florida College,42,FIU,64
11/15/14,Trinity FL,69,Bethune Cookman,91
11/15/14,Maine,57,Butler,99
11/15/14,Vermont,60,Canisius,64
11/15/14,Montana,66,Colorado St.,83
11/15/14,Catholic,66,Davidson,102
11/15/14,Bowling Green,77,Drake,58
11/15/14,Fairfield,59,Duke,109
11/15/14,Bluefield St.,51,Duquesne,91
11/15/14,Earlham,45,Evansville,116
11/15/14,Nova Southeastern,51,Florida Gulf Coast,63
11/15/14,Manhattan,66,Florida St.,81
11/15/14,St. Francis NY,62,Georgetown,83
11/15/14,Illinois Springfield,57,Green Bay,88
11/15/14,Cal St. Bakersfield,65,Hawaii,72
11/15/14,Arkansas Pine Bluff,62,High Point,74
11/15/14,Colgate,52,La Salle,57
11/15/14,San Francisco St.,64,Long Beach St.,74
11/15/14,Boise St.,77,Loyola Marymount,69
11/15/14,Gardner Webb,82,LSU,93
11/15/14,Hillsdale,68,Michigan,92
11/15/14,Cal Poly,49,Nevada,65
11/15/14,Aurora,56,Northern Illinois,86
11/15/14,North Dakota,52,Northern Iowa,64
11/15/14,Appalachian St.,47,Ohio,73
11/15/14,UNC Wilmington,56,Old Dominion,76
11/15/14,Tulsa,68,Oral Roberts,77
11/15/14,Delaware St.,77,Penn,75
11/15/14,Albany,60,Providence,64
11/15/14,Southern Illinois,59,Saint Louis,62
11/15/14,Southeast Missouri St.,56,San Diego,67
11/15/14,San Diego Christian,58,Santa Clara,70
11/15/14,Dartmouth,57,St. Bonaventure,77
11/15/14,Louisiana Monroe,74,UAB,65
11/15/14,UC San Diego,52,UC Riverside,75
11/15/14,Portland St.,76,USC,68
11/15/14,Florida A&M,65,USC Upstate,78
11/15/14,Austin Peay,70,Western Kentucky,77
11/15/14,Pfeiffer,59,Winthrop,82
11/15/14,Kent St.,69,Youngstown St.,61
11/15/14,The Citadel,55,Air Force,68
11/15/14,VMI,86,Army,92
11/16/14,Cal St. Northridge,68,Arizona,86
11/16/14,Alabama St.,79,Arkansas,97
11/16/14,Arkansas Monticello,64,Arkansas Little Rock,77
11/16/14,Berea,63,Austin Peay,68
11/16/14,Massachusetts,71,Boston College,62
11/16/14,Northeastern,71,Boston University,65
11/16/14,Kennesaw St.,59,California,93
11/16/14,Chicago St.,66,Creighton,84
11/16/14,Idaho St.,38,Denver,54
11/16/14,UNC Asheville,83,East Carolina,79
11/16/14,Charlotte,73,Elon,60
11/16/14,Princeton,60,George Mason,63
11/16/14,Saint Peter's,50,Hartford,51
11/16/14,Holy Cross,58,Harvard,57
11/16/14,Goucher,54,Howard,101
11/16/14,Coppin St.,56,Illinois,114
11/16/14,Utah St.,60,Illinois St.,55
11/16/14,Florida National,61,Jacksonville,72
11/16/14,Buffalo,52,Kentucky,71
11/16/14,LSU-Alexandria,75,Lamar,78
11/16/14,Cornell,71,Loyola MD,76
11/16/14,Savannah St.,47,Marshall,66
11/16/14,Southern Utah,63,Miami OH,76
11/16/14,Valparaiso,41,Missouri,56
11/16/14,Northern Kentucky,61,Nebraska,80
11/16/14,Central Arkansas,75,Nebraska Omaha,100
11/16/14,Cal St. Fullerton,59,New Mexico,67
11/16/14,Robert Morris,59,North Carolina,103
11/16/14,Navy,53,Notre Dame,92
11/16/14,Southeastern Louisiana,53,Oklahoma,78
11/16/14,Prairie View A&M,52,Oklahoma St.,74
11/16/14,Fordham,54,Penn St.,73
11/16/14,Samford,56,Pittsburgh,63
11/16/14,IUPUI,57,Purdue,77
11/16/14,UMass Lowell,56,Rhode Island,72
11/16/14,George Washington,70,Rutgers,53
11/16/14,South Carolina St.,52,San Francisco,91
11/16/14,Portland,73,San Jose St.,68
11/16/14,Mercer,47,Seton Hall,63
11/16/14,Jackson St.,64,South Florida,73
11/16/14,South Dakota,73,Stanford,84
11/16/14,Hampton,47,Syracuse,65
11/16/14,Alcorn St.,53,Texas,85
11/16/14,Northern Arizona,58,Toledo,71
11/16/14,Holy Names,42,UC Davis,57
11/16/14,Pacific,50,UC Irvine,68
11/16/14,Stetson,55,UCF,64
11/16/14,Coastal Carolina,71,UCLA,84
11/16/14,Sam Houston St.,57,UNLV,59
11/16/14,Trevecca Nazarene,56,Vanderbilt,83
11/16/14,Norfolk St.,39,Virginia,67
11/16/14,Lafayette,56,West Virginia,83
11/16/14,Chattanooga,45,Wisconsin,89
11/16/14,Ohio Dominican,64,Wright St.,76
11/16/14,Northern Colorado,70,Wyoming,78
11/16/14,Oberlin,53,Youngstown St.,71
11/16/14,Aquinas,57,Western Michigan,87
11/17/14,Western Carolina,74,Alabama,80
11/17/14,St. Francis PA,46,American,49
11/17/14,Bethune Cookman,39,Arizona St.,49
11/17/14,Cal St. Bakersfield,49,Arkansas Pine Bluff,56
11/17/14,Tennessee Martin,75,Arkansas St.,73
11/17/14,Indiana Kokomo,62,Ball St.,101
11/17/14,Northwestern,69,Brown,56
11/17/14,Erskine,50,Charleston Southern,92
11/17/14,Winthrop,77,Clemson,74
11/17/14,Tiffin,56,Cleveland St.,85
11/17/14,Gardner Webb,80,College of Charleston,67
11/17/14,Auburn,59,Colorado,90
11/17/14,Baptist Bible,63,Delaware St.,104
11/17/14,Saint Joseph's,52,Drexel,49
11/17/14,Eureka,51,Eastern Illinois,81
11/17/14,Oakland,77,Eastern Michigan,89
11/17/14,Utah Valley,50,Eastern Washington,75
